#designation	ra	dec	w1	w1_err	h	h_err	k	k_err	Halpha_type	objtype_Hou	objtype_SIMBAD
J035451.93+445304.1	58.716386	44.884491	11.710	0.023	11.905	0.027	11.799	0.020	VI	CBe	-
J034855.09+454050.2	57.229548	45.680613	12.078	0.023	12.235	0.028	12.129	0.024	VI	CBe	-
J034957.75+481412.3	57.490663	48.23676	11.900	0.024	12.103	0.029	12.019	0.024	VI	CBe	-
J055454.34+094300.2	88.726444	9.7167224	12.233	0.024	12.475	0.026	12.362	0.032	VI	CBe	-
J064544.36+054412.7	101.43485	5.736885	11.932	0.023	12.001	0.027	11.923	0.028	VI	CBe	-
J064450.86+070445.0	101.21195	7.0791735	12.490	0.025	12.528	0.021	12.483	0.030	VI	CBe	-
J065046.03+063106.2	102.69182	6.5184037	12.651	0.024	12.710	0.025	12.671	0.030	VI	CBe	-
J064812.60+081933.4	102.0525	8.3259489	12.946	0.024	13.065	0.026	13.008	0.035	VI	CBe	-
J033858.56+492555.3	54.744007	49.432045	13.387	0.026	13.553	0.033	13.451	0.038	VI	CBe	-
J035852.52+512056.8	59.718866	51.349119	12.476	0.023	12.710	0.030	12.576	0.024	VI	CBe	-
J122941.92+254014.7	187.4246902	25.6707513	14.249	0.028	14.252	0.043	14.256	0.050	VI	CBe	-
J062652.27+265931.3	96.7178292	26.99205	12.597	0.025	12.680	0.023	12.645	0.024	VI	CBe	-
J044035.14+474907.3	70.146458	47.818707	11.579	0.022	12.003	0.029	11.830	0.024	VI	CBe	-
J045453.92+463956.9	73.724685	46.665807	12.453	0.024	12.652	0.031	12.501	0.026	VI	CBe	-
J045405.12+473836.1	73.521368	47.643368	12.745	0.024	12.825	0.036	12.801	0.033	VI	CBe	-
J063925.72+075113.4	99.857199	7.8537423	12.629	0.024	12.785	0.024	12.755	0.031	VI	CBe	-
J064744.17+112906.7	101.93405	11.485197	12.890	0.025	13.044	0.029	13.006	0.037	VI	CBe	-
J064416.35+072459.7	101.06816	7.416597	10.702	0.022	10.791	0.026	10.717	0.021	VI	CBe	Star
J042530.74+415627.9	66.378108	41.941103	11.902	0.022	12.059	0.026	11.992	0.025	VI	CBe	-
J042856.11+430402.2	67.233832	43.067293	12.644	0.024	12.860	0.031	12.777	0.026	VI	CBe	-
J065226.16+132542.5	103.10904	13.428499	11.845	0.022	11.911	0.019	11.835	0.019	VI	CBe	Star
J041148.78+495659.2	62.953271	49.949783	10.514	0.023	10.638	0.027	10.585	0.021	VI	CBe	Star
J040402.17+524152.0	61.009064	52.697797	12.106	0.023	12.305	0.031	12.172	0.019	VI	CBe	StarinCluster
